filename	frame_nb	local_id_bonds	bond_size_in_px	bond_length_in_px	bond_orientation	vx_1_x	vx_1_y	vx_2_x	vx_2_y	sum_px_int_vertices_excluded_ch1	sum_px_int_vertices_excluded_ch2	sum_px_int_vertices_excluded_ch3	sum_px_int_vertices_excluded_12bits	sum_px_int_vertices_included_ch1	sum_px_int_vertices_included_ch2	sum_px_int_vertices_included_ch3	sum_px_int_vertices_included_12bits	first_pixel_x_bonds	first_pixel_y_bonds	cell_id_around_bond1	cell_id_around_bond2	
E14_75I_6_0.tif	9	129	19	23.798989873223338	128.0	42	47	28	65	16669.0	4960.0	879.0	16669.0	18552.0	5717.0	973.0	18552.0	42	48	33	26
E14_75I_6_0.tif	9	130	18	21.142135623730955	39.0	24	82	39	94	26817.0	7133.0	846.0	26817.0	29445.0	8587.0	941.0	29445.0	25	83	33	27
E14_75I_6_0.tif	9	131	12	13.899494936611667	121.0	39	94	33	104	8323.0	4561.0	671.0	8323.0	10887.0	5784.0	852.0	10887.0	38	95	39	27
E14_75I_6_0.tif	9	132	26	31.62741699796953	38.0	22	324	45	342	31153.0	5520.0	2243.0	31153.0	33551.0	6641.0	2438.0	33551.0	23	325	32	28
E14_75I_6_0.tif	9	133	5	4.414213562373095	104.0	45	342	44	346	2515.0	1546.0	314.0	2515.0	4550.0	2725.0	602.0	4550.0	45	343	43	28
E14_75I_6_0.tif	9	134	4	3.82842712474619	0.0	35	285	38	285	1874.0	1637.0	94.0	1874.0	3325.0	2938.0	176.0	3325.0	36	286	29	31
E14_75I_6_0.tif	9	135	6	7.0710678118654755	45.0	38	285	43	290	3027.0	1899.0	168.0	3027.0	4816.0	3026.0	281.0	4816.0	39	286	41	29
E14_75I_6_0.tif	9	136	23	28.213203435596434	127.0	43	290	27	311	20769.0	7245.0	1288.0	20769.0	22847.0	8175.0	1413.0	22847.0	42	291	32	29
E14_75I_6_0.tif	9	137	16	15.828427124746192	0.0	32	1	47	1	9642.0	3587.0	944.0	9642.0	11837.0	4159.0	1089.0	11837.0	33	0	null	null
E14_75I_6_0.tif	9	138	21	23.313708498984763	112.0	47	1	39	21	26938.0	5310.0	2034.0	26938.0	29324.0	6251.0	2154.0	29324.0	47	2	42	30
E14_75I_6_0.tif	9	139	4	3.82842712474619	146.0	39	21	36	23	1758.0	1192.0	93.0	1758.0	3849.0	2413.0	197.0	3849.0	38	22	36	30
E14_75I_6_0.tif	9	140	13	15.727922061357859	127.0	47	273	38	285	7372.0	4615.0	476.0	7372.0	8705.0	5744.0	553.0	8705.0	46	274	41	31
E14_75I_6_0.tif	9	141	27	29.313708498984763	163.0	43	290	69	282	26317.0	7692.0	6043.0	26317.0	28084.0	8586.0	6202.0	28084.0	44	290	32	41
